task_id,category,task_description,input_prompt,output_criterion,expected_tool_calls,difficulty,tags
36,code_generation,Create data pipeline,Build an ETL pipeline that processes JSON data,Complete pipeline with extract transform and load stages,0,hard,data-engineering;etl;pipeline
37,multi_tool,Competitor analysis,Analyze competitors and create comparison report,Uses search and reading to gather data then analyzes,3,hard,research;analysis;business
38,code_generation,Implement caching layer,Add Redis caching to this Python application,Complete caching implementation with TTL and invalidation,0,medium,caching;redis;performance
39,debugging,Fix async race condition,Debug this asyncio code with intermittent failures,Identified bug and corrected async implementation,0,hard,asyncio;debugging;concurrency
40,code_review,Security audit,Review this code for security vulnerabilities,Identifies at least 3 security issues with fixes,0,hard,security;audit;vulnerabilities
41,web_search,Find API documentation,Find the documentation for the OpenAI API,Returns link to official API documentation,1,easy,api;documentation;openai
42,web_reading,Parse structured content,Extract all table data from this Wikipedia page,Returns structured data from all tables,1,medium,web;parsing;tables
43,embeddings,Content recommendation,Recommend similar articles based on user reading history,Returns top 5 recommendations with similarity scores,1,medium,embeddings;recommendations;personalization
44,classification,Sentiment analysis,Classify the sentiment of this product review,Returns sentiment label (positive/negative/neutral) with score,1,easy,classification;sentiment;nlp
45,code_generation,Build web scraper,Create a web scraper that extracts product prices,Complete scraper with error handling and rate limiting,0,medium,scraping;python;web
46,code_generation,Implement rate limiter,Create a token bucket rate limiter in Python,Complete implementation with configurable limits,0,medium,algorithms;rate-limiting;python
47,web_search,Tech news summary,Find and summarize today's top technology news,Returns summary of 5 major tech news stories,1,medium,news;technology;summarization
48,embeddings,Question answering,Answer this question using semantic search over documents,Returns accurate answer with source document reference,2,medium,qa;embeddings;retrieval
49,reranking,Personalized search,Rerank search results based on user preferences,Returns personalized ranking considering user context,1,hard,reranking;personalization;search
50,segmentation,Chapter extraction,Split this long document into logical chapters with titles,Returns chapters with appropriate titles and content,1,medium,segmentation;document-processing
51,code_generation,Create microservice,Build a microservice for user authentication,Complete service with API endpoints and database,0,hard,microservices;api;architecture
52,debugging,Fix performance issue,This function takes 10 seconds profile and optimize it,Identifies bottleneck and provides optimized version,0,hard,performance;profiling;optimization
53,multi_tool,Technical documentation,Create technical documentation for this API,Uses code analysis and generates comprehensive docs,2,medium,documentation;api;technical-writing
54,code_generation,Implement graph algorithm,Implement Dijkstra's shortest path algorithm,Complete implementation with test cases,0,medium,algorithms;graphs;python
55,web_search,Find code libraries,Find Python libraries for PDF text extraction,Returns 3-5 libraries with brief descriptions,1,easy,libraries;python;pdf
56,web_reading,Extract contact info,Extract all contact information from this company website,Returns structured contact data (email phone address),1,easy,web;extraction;contact-info
57,embeddings,Semantic versioning,Find documents most similar to this specific version,Returns matching documents with version awareness,1,medium,embeddings;versioning;search
58,classification,Topic modeling,Identify the main topics in this collection of documents,Returns list of topics with representative keywords,1,hard,classification;topic-modeling;nlp
59,code_generation,Build REST client,Create a Python client for consuming a REST API,Complete client with all CRUD operations,0,medium,api;client;python
60,code_generation,Implement retry logic,Add exponential backoff retry logic to this function,Complete implementation with configurable parameters,0,medium,reliability;error-handling;python
61,web_search,Job market research,Research current salaries for Python developers in SF,Returns salary data with sources and ranges,1,medium,research;careers;salaries
62,embeddings,Cross-lingual search,Find similar documents across English and Spanish,Returns relevant documents regardless of language,1,hard,embeddings;multilingual;search
63,reranking,Context-aware ranking,Rerank these results considering conversation context,Returns context-aware ranking with explanations,1,hard,reranking;context;conversation
64,code_generation,Create validation layer,Build input validation for API endpoints,Complete validation with error messages,0,medium,validation;api;security
65,debugging,Fix deadlock,Identify and resolve deadlock in this concurrent system,Explanation of deadlock and corrected synchronization,0,hard,concurrency;deadlock;debugging
66,multi_tool,Research proposal,Create a research proposal on AI safety,Uses search for background then drafts proposal,3,hard,research;writing;ai-safety
67,code_generation,Build event system,Implement an event-driven architecture in Python,Complete event system with publishers and subscribers,0,hard,architecture;events;python
68,web_search,Framework comparison,Compare Django vs FastAPI for building APIs,Detailed comparison of features pros and cons,1,medium,frameworks;comparison;python
69,web_reading,Extract reviews,Extract all customer reviews from this product page,Returns list of reviews with ratings and text,1,medium,web;extraction;reviews
70,embeddings,Anomaly detection,Detect outlier documents using embedding distance,Returns anomalous documents with anomaly scores,1,hard,embeddings;anomaly-detection;outliers
71,classification,Named entity recognition,Extract all person and organization names from text,Returns structured list of entities by type,1,medium,ner;classification;nlp
72,segmentation,Sentence boundary detection,Split this text into sentences handling edge cases,Returns accurately segmented sentences,1,easy,segmentation;sentences;nlp
73,code_generation,Implement logging system,Create structured logging with multiple handlers,Complete logging configuration with rotation,0,medium,logging;observability;python
74,code_generation,Build queue system,Implement a message queue using Redis,Complete queue with producer and consumer,0,medium,queues;redis;architecture
75,debugging,Fix Unicode issues,Resolve encoding errors in this text processing code,Corrected code handling various encodings,0,medium,encoding;unicode;debugging
76,web_search,Best practices research,Find best practices for Python async programming,Returns comprehensive best practices guide,1,medium,best-practices;async;python
77,embeddings,Hierarchical clustering,Cluster documents into hierarchical categories,Returns dendrogram or tree of document clusters,1,hard,embeddings;clustering;hierarchy
78,reranking,Multi-criteria ranking,Rank items by multiple criteria (relevance recency popularity),Returns ranking with score breakdown,1,hard,reranking;multi-criteria;ranking
79,code_generation,Create configuration system,Build a hierarchical configuration loader,Complete system supporting multiple config formats,0,medium,configuration;python;yaml
80,multi_tool,Competitive analysis,Analyze competitor products and pricing,Gathers data from multiple sources and analyzes,3,hard,research;analysis;competitive-intelligence
81,code_generation,Implement circuit breaker,Create circuit breaker pattern for API calls,Complete implementation with state management,0,medium,resilience;patterns;python
82,web_search,Technology stack research,Research the tech stack used by Netflix,Returns detailed technology stack information,1,medium,research;technology;architecture
83,web_reading,Extract job postings,Extract job details from this careers page,Returns structured job listings with requirements,1,medium,web;extraction;jobs
84,embeddings,Semantic deduplication,Remove semantically duplicate entries from dataset,Returns deduplicated dataset with merge logic,1,hard,embeddings;deduplication;data-cleaning
85,classification,Intent classification,Classify user intent in chatbot conversation,Returns intent label with confidence score,1,medium,classification;intent;chatbots
86,code_generation,Build caching strategy,Implement multi-level caching (memory Redis DB),Complete caching hierarchy with invalidation,0,hard,caching;architecture;performance
87,debugging,Fix connection leak,Find and fix connection pool exhaustion issue,Identified leak and corrected resource management,0,hard,debugging;connections;resources
88,code_generation,Create API gateway,Build an API gateway with routing and rate limiting,Complete gateway implementation,0,hard,api;gateway;architecture
89,web_search,Industry trends,Research emerging trends in fintech industry,Returns comprehensive trend analysis,1,medium,research;fintech;trends
90,embeddings,Document clustering by topic,Cluster news articles by topic using embeddings,Returns topic clusters with labels,1,medium,embeddings;clustering;topics
91,reranking,Temporal reranking,Rerank results considering time decay,Returns ranking with recency boost,1,medium,reranking;temporal;ranking
92,segmentation,Paragraph extraction,Extract well-formed paragraphs from messy text,Returns clean paragraph segmentation,1,easy,segmentation;paragraphs;text-processing
93,code_generation,Implement OAuth flow,Create OAuth 2.0 authentication flow,Complete OAuth implementation with token refresh,0,hard,oauth;authentication;security
94,code_generation,Build monitoring system,Create system for monitoring application health,Complete monitoring with metrics and alerts,0,hard,monitoring;observability;devops
95,debugging,Fix cache invalidation,Debug incorrect cache invalidation logic,Corrected cache invalidation strategy,0,medium,caching;debugging;consistency
96,multi_tool,Technical blog post,Write a technical blog post about microservices,Researches topic and writes comprehensive post,3,hard,writing;technical;microservices
97,web_search,License information,Find licensing information for popular open-source projects,Returns license types and restrictions,1,easy,open-source;licenses;legal
98,web_reading,Extract pricing,Extract pricing information from SaaS website,Returns structured pricing tiers and features,1,medium,web;extraction;pricing
99,embeddings,Feature extraction,Extract semantic features from text for ML,Returns feature vectors for classification,1,medium,embeddings;features;ml
100,classification,Spam detection,Classify emails as spam or legitimate,Returns classification with confidence score,1,medium,classification;spam;email
101,code_generation,Create worker pool,Implement a thread pool for parallel processing,Complete thread pool with task queue,0,medium,concurrency;threading;python
102,code_generation,Build state machine,Implement a finite state machine in Python,Complete FSM with transitions and states,0,medium,algorithms;state-machine;python
103,web_search,Vulnerability research,Research known vulnerabilities for Python libraries,Returns CVE information and severity,1,medium,security;vulnerabilities;python
104,embeddings,Content similarity matrix,Generate similarity matrix for document collection,Returns NxN similarity matrix,1,medium,embeddings;similarity;matrix
105,reranking,User feedback ranking,Rerank results incorporating user feedback signals,Returns improved ranking based on feedback,1,hard,reranking;feedback;personalization
106,code_generation,Implement data validator,Create comprehensive data validation framework,Complete validator with custom rules,0,medium,validation;data-quality;python
107,debugging,Fix SQL injection,Identify and fix SQL injection vulnerabilities,Corrected code using parameterized queries,0,medium,security;sql-injection;debugging
108,multi_tool,Market size estimation,Estimate market size for new product idea,Uses multiple data sources and calculations,3,hard,research;analysis;market-sizing
109,code_generation,Build webhook handler,Create webhook receiver with signature verification,Complete handler with security checks,0,medium,webhooks;api;security
110,web_search,Dataset discovery,Find datasets for training NLP models,Returns links to quality datasets with descriptions,1,medium,datasets;ml;nlp
111,web_reading,Extract schema markup,Extract structured data (Schema.org) from webpage,Returns structured JSON-LD data,1,medium,web;schema;structured-data
112,embeddings,Semantic text generation,Generate text semantically similar to examples,Returns generated text matching semantic profile,1,hard,embeddings;generation;nlp
113,classification,Emotion detection,Detect emotions in text (joy anger sadness fear),Returns emotion labels with intensities,1,medium,classification;emotion;nlp
114,segmentation,Topic segmentation,Segment document by topic changes,Returns segments with topic labels,1,hard,segmentation;topics;discourse
115,code_generation,Create plugin system,Build extensible plugin architecture,Complete system with plugin loading and APIs,0,hard,architecture;plugins;extensibility
116,code_generation,Implement backpressure,Add backpressure handling to streaming system,Complete implementation with flow control,0,hard,streaming;backpressure;architecture
117,debugging,Fix race in distributed system,Debug race condition in distributed cache,Analysis and fix for distributed race condition,0,hard,distributed;debugging;consistency
118,web_search,Conference information,Find information about upcoming AI conferences,Returns conference dates locations and CFPs,1,easy,research;conferences;ai
119,embeddings,Cross-modal retrieval,Find images similar to text description using embeddings,Returns relevant images ranked by similarity,1,hard,embeddings;cross-modal;multimodal
120,reranking,Diversity-aware ranking,Rerank results to maximize diversity,Returns diverse ranking avoiding redundancy,1,hard,reranking;diversity;ranking
121,code_generation,Build search engine,Create full-text search engine with ranking,Complete search implementation with indexing,0,hard,search;indexing;algorithms
122,multi_tool,Due diligence report,Create investment due diligence report for company,Researches company and creates analysis,4,hard,research;finance;analysis
123,code_generation,Implement compression,Add compression middleware to API responses,Complete compression with content negotiation,0,medium,compression;api;performance
124,web_search,Benchmark research,Find performance benchmarks for database systems,Returns benchmark data with comparisons,1,medium,research;benchmarks;databases
125,web_reading,Extract author info,Extract author biography from article or book page,Returns structured author information,1,easy,web;extraction;metadata
126,embeddings,Concept extraction,Extract high-level concepts from document collection,Returns concept embeddings and labels,1,hard,embeddings;concepts;knowledge
127,classification,Genre classification,Classify books or movies into genres,Returns genre labels with confidence,1,medium,classification;genre;entertainment
128,code_generation,Create feature flags,Build feature flag system with targeting,Complete system with flag management,0,medium,feature-flags;configuration;python
129,debugging,Memory profiling,Profile memory usage and fix excessive allocation,Memory analysis and optimization,0,hard,profiling;memory;performance
130,code_generation,Build notification system,Create multi-channel notification system,Complete system supporting email SMS push,0,hard,notifications;architecture;communication
131,web_search,Learning path research,Find learning path for becoming ML engineer,Returns structured learning roadmap,1,medium,learning;career;ml
132,embeddings,Query expansion,Expand search query using semantic similarity,Returns expanded query with related terms,1,medium,embeddings;query-expansion;search
133,reranking,Explainable ranking,Rerank with explanations for each ranking decision,Returns ranking with human-readable explanations,1,hard,reranking;explainability;transparency
134,segmentation,Code segmentation,Segment source code into logical functions,Returns function boundaries and signatures,1,medium,segmentation;code-analysis;parsing
135,code_generation,Implement idempotency,Add idempotency keys to API endpoints,Complete implementation with deduplication,0,medium,api;idempotency;reliability
136,multi_tool,Product requirements doc,Create PRD for new feature,Researches similar features and writes PRD,3,hard,product;documentation;requirements
137,code_generation,Build recommendation engine,Create collaborative filtering recommendation system,Complete recommendation engine with scoring,0,hard,recommendations;ml;algorithms
138,web_search,Salary comparison,Compare salaries across different tech companies,Returns structured salary comparison,1,medium,research;salaries;careers
139,web_reading,Extract navigation,Extract site navigation structure from website,Returns hierarchical navigation tree,1,medium,web;extraction;navigation
140,embeddings,Semantic caching,Implement semantic caching for similar queries,Returns cached results for semantically similar queries,1,hard,embeddings;caching;optimization
141,classification,Language detection,Detect the language of input text,Returns language code with confidence,1,easy,classification;language;nlp
142,code_generation,Create connection pool,Implement database connection pooling,Complete pool with connection management,0,medium,database;pooling;resources
143,debugging,Fix timezone bug,Debug and fix timezone handling issues,Corrected timezone conversion logic,0,medium,datetime;timezones;debugging
144,code_generation,Build workflow engine,Create workflow orchestration engine,Complete engine with DAG execution,0,hard,workflows;orchestration;architecture
145,web_search,Tool comparison,Compare different project management tools,Returns detailed feature comparison,1,medium,tools;comparison;productivity
146,embeddings,Transfer learning,Fine-tune embeddings for domain-specific task,Returns specialized embeddings with evaluation,1,hard,embeddings;transfer-learning;ml
147,reranking,Learning to rank,Implement learning-to-rank algorithm,Returns trained ranking model,1,hard,reranking;ml;ranking
148,code_generation,Implement saga pattern,Create saga pattern for distributed transactions,Complete saga with compensation logic,0,hard,distributed;saga;patterns
149,multi_tool,Competitive pricing analysis,Analyze competitor pricing strategies,Gathers pricing data and creates analysis,3,hard,research;pricing;competitive
150,code_generation,Build GraphQL API,Create GraphQL API with resolvers,Complete GraphQL implementation,0,hard,graphql;api;architecture
151,web_search,Open source alternatives,Find open-source alternatives to commercial software,Returns list of alternatives with comparisons,1,medium,open-source;tools;alternatives
152,web_reading,Extract FAQs,Extract FAQ content from help pages,Returns structured Q&A pairs,1,easy,web;extraction;faq
153,embeddings,Contextual embeddings,Generate context-aware embeddings for words,Returns contextual word representations,1,hard,embeddings;context;nlp
154,classification,Readability scoring,Score text readability (Flesch-Kincaid etc),Returns readability metrics and grade level,1,medium,classification;readability;text-analysis
155,segmentation,Discourse parsing,Parse document discourse structure,Returns discourse tree with relations,1,hard,segmentation;discourse;linguistics
156,code_generation,Create batch processor,Build system for batch job processing,Complete batch system with scheduling,0,hard,batch;processing;architecture
157,debugging,Debug memory corruption,Find memory corruption in C extension,Analysis of memory issues and fixes,0,hard,debugging;memory;c-extensions
158,code_generation,Implement CQRS,Create CQRS pattern implementation,Complete CQRS with command and query sides,0,hard,architecture;cqrs;patterns
159,web_search,Integration options,Research integration options for Stripe API,Returns integration guides and SDKs,1,medium,api;integration;payments
160,embeddings,Document versioning,Track document changes using embedding drift,Returns version history with semantic changes,1,hard,embeddings;versioning;tracking
161,reranking,Multi-objective ranking,Rank by optimizing multiple objectives,Returns Pareto-optimal ranking,1,hard,reranking;optimization;multi-objective
162,code_generation,Build metrics system,Create system for collecting and aggregating metrics,Complete metrics pipeline with storage,0,hard,metrics;observability;monitoring
163,multi_tool,Investment analysis,Analyze potential investment opportunity,Researches company and creates investment thesis,4,hard,finance;analysis;investment
164,code_generation,Implement sharding,Add database sharding to application,Complete sharding implementation with routing,0,hard,database;sharding;scalability
165,web_search,Regulatory research,Research GDPR compliance requirements,Returns comprehensive GDPR requirements,1,hard,legal;compliance;gdpr
166,web_reading,Extract specifications,Extract technical specifications from product page,Returns structured specs,1,medium,web;extraction;specifications
167,embeddings,Zero-shot classification,Classify using embeddings without training data,Returns classifications using similarity,1,hard,embeddings;zero-shot;classification
168,classification,Toxicity detection,Detect toxic or harmful content in text,Returns toxicity score and categories,1,medium,classification;moderation;safety
169,code_generation,Create scheduler,Build job scheduler with cron-like syntax,Complete scheduler with recurring jobs,0,medium,scheduling;cron;automation
170,debugging,Fix deadlock in async code,Debug deadlock in asyncio application,Analysis and corrected async code,0,hard,asyncio;deadlock;debugging
171,code_generation,Build search autocomplete,Create autocomplete with fuzzy matching,Complete autocomplete with ranking,0,medium,search;autocomplete;ux
172,web_search,Framework ecosystem,Research the Next.js ecosystem and plugins,Returns comprehensive ecosystem overview,1,medium,frameworks;ecosystem;javascript
173,embeddings,Multilingual embeddings,Generate aligned embeddings across languages,Returns multilingual embedding space,1,hard,embeddings;multilingual;cross-lingual
174,reranking,Session-based ranking,Rerank based on user session history,Returns session-aware personalized ranking,1,hard,reranking;session;personalization
175,segmentation,Video segmentation,Segment video transcript into scenes,Returns scene boundaries with descriptions,1,medium,segmentation;video;transcripts
176,code_generation,Implement versioning,Add API versioning to existing endpoints,Complete versioning strategy implementation,0,medium,api;versioning;compatibility
177,multi_tool,Literature review,Create literature review on topic,Searches papers and synthesizes findings,4,hard,research;academic;synthesis
178,code_generation,Build A/B testing framework,Create A/B testing infrastructure,Complete framework with variant assignment,0,hard,ab-testing;experimentation;analytics
179,web_search,Cloud provider comparison,Compare AWS vs Azure vs GCP features,Returns detailed cloud provider comparison,1,medium,cloud;comparison;infrastructure
180,web_reading,Extract changelog,Extract changelog or release notes from page,Returns structured changelog entries,1,medium,web;extraction;changelog
181,embeddings,Bias detection,Detect bias in embeddings or models,Returns bias analysis and metrics,1,hard,embeddings;bias;fairness
182,classification,Formality detection,Classify text formality level,Returns formality score and classification,1,medium,classification;style;nlp
183,code_generation,Create message bus,Implement message bus for event-driven architecture,Complete message bus with routing,0,hard,messaging;events;architecture
184,debugging,Debug distributed trace,Analyze distributed trace to find bottleneck,Identified bottleneck with optimization,0,hard,distributed;tracing;performance
185,code_generation,Build health check system,Create comprehensive health check endpoints,Complete health checks with dependencies,0,medium,health-checks;monitoring;reliability
186,web_search,Migration guide,Find migration guides from Python 2 to Python 3,Returns comprehensive migration resources,1,medium,migration;python;guides
187,embeddings,Embedding compression,Compress embeddings while maintaining quality,Returns compressed embeddings with evaluation,1,hard,embeddings;compression;optimization
188,reranking,Fairness-aware ranking,Rerank ensuring fairness across groups,Returns fair ranking with metrics,1,hard,reranking;fairness;ethics
189,code_generation,Implement rate limiting,Add distributed rate limiting using Redis,Complete rate limiter with sliding window,0,hard,rate-limiting;redis;scalability
190,multi_tool,Patent search,Search and analyze relevant patents,Searches patents and summarizes findings,3,hard,research;patents;legal
191,code_generation,Build ETL framework,Create reusable ETL framework,Complete framework with connectors,0,hard,etl;data-engineering;framework
192,web_search,Security advisories,Find recent security advisories for Node.js,Returns security advisories with CVEs,1,medium,security;nodejs;advisories
193,web_reading,Extract menu items,Extract menu items from restaurant website,Returns structured menu with prices,1,easy,web;extraction;menu
194,embeddings,Style transfer,Transfer writing style using embeddings,Returns text rewritten in target style,1,hard,embeddings;style;generation
195,classification,Complexity scoring,Score code complexity automatically,Returns complexity metrics (cyclomatic etc),1,medium,classification;code-analysis;metrics
196,segmentation,Email parsing,Parse email into header body signature,Returns structured email components,1,medium,segmentation;email;parsing
197,code_generation,Create telemetry system,Build telemetry collection and analysis,Complete telemetry with dashboards,0,hard,telemetry;observability;analytics
198,debugging,Fix N+1 query,Identify and fix N+1 query problem,Optimized query with explanation,0,medium,database;orm;performance
199,code_generation,Implement SSO,Add single sign-on using SAML,Complete SSO implementation,0,hard,authentication;sso;saml
200,web_search,Training resources,Find training resources for Kubernetes,Returns courses tutorials and documentation,1,easy,learning;kubernetes;devops
201,embeddings,Continuous learning,Update embeddings with new data continuously,Returns updated embedding model,1,hard,embeddings;continual-learning;ml
202,reranking,Contextual bandit ranking,Implement contextual bandit for ranking,Returns adaptive ranking with learning,1,hard,reranking;bandits;rl
203,code_generation,Build CDC pipeline,Create change data capture pipeline,Complete CDC with event streaming,0,hard,cdc;data-engineering;streaming
204,multi_tool,Feasibility study,Conduct feasibility study for project,Researches and analyzes project viability,4,hard,research;analysis;feasibility
205,code_generation,Implement secrets management,Add secrets management using Vault,Complete secrets integration,0,hard,security;secrets;vault
206,web_search,Community resources,Find developer community resources for Rust,Returns forums Discord channels and resources,1,easy,community;rust;learning
207,web_reading,Extract events,Extract event information from calendar page,Returns structured event data,1,medium,web;extraction;events
208,embeddings,Active learning,Select most informative samples using embeddings,Returns samples for labeling,1,hard,embeddings;active-learning;ml
209,classification,Sarcasm detection,Detect sarcasm in text,Returns sarcasm classification with confidence,1,hard,classification;sarcasm;nlp
210,segmentation,Argument mining,Extract arguments and their structure from text,Returns argument components and relations,1,hard,segmentation;argumentation;nlp
211,code_generation,Create chaos testing,Build chaos engineering test framework,Complete framework for resilience testing,0,hard,testing;chaos-engineering;reliability
212,debugging,Debug connection timeout,Analyze and fix intermittent timeouts,Root cause analysis and fix,0,medium,debugging;network;timeouts
213,code_generation,Build recommendation API,Create API for personalized recommendations,Complete API with ranking algorithms,0,hard,api;recommendations;ml
214,web_search,Certification info,Research cloud certification requirements,Returns certification paths and requirements,1,medium,certifications;cloud;career
215,embeddings,Few-shot learning,Perform few-shot classification with embeddings,Returns classifications from few examples,1,hard,embeddings;few-shot;ml
216,reranking,Counterfactual ranking,Generate counterfactual rankings for analysis,Returns alternative rankings with explanations,1,hard,reranking;counterfactual;analysis
217,code_generation,Implement blue-green deployment,Create blue-green deployment automation,Complete deployment strategy,0,hard,deployment;devops;automation
218,multi_tool,Environmental impact assessment,Assess environmental impact of product,Researches and calculates carbon footprint,3,hard,research;sustainability;analysis
219,code_generation,Build feature store,Create ML feature store,Complete feature store with versioning,0,hard,ml;features;infrastructure
220,web_search,API comparison,Compare different payment gateway APIs,Returns detailed API comparison,1,medium,api;payments;comparison
221,web_reading,Extract testimonials,Extract customer testimonials from website,Returns structured testimonial data,1,easy,web;extraction;testimonials
222,embeddings,Embedding visualization,Create 2D visualization of embedding space,Returns visualization of embeddings,1,medium,embeddings;visualization;tsne
223,classification,Age appropriateness,Classify content age appropriateness,Returns age rating with reasoning,1,medium,classification;moderation;ratings
224,code_generation,Create workflow API,Build API for workflow management,Complete workflow API with state management,0,hard,api;workflows;orchestration
225,debugging,Debug CORS issues,Identify and fix CORS configuration problems,Corrected CORS setup with explanation,0,medium,debugging;cors;web
226,code_generation,Implement GraphQL subscriptions,Add real-time subscriptions to GraphQL,Complete subscription implementation,0,hard,graphql;subscriptions;realtime
227,web_search,Design patterns,Research microservices design patterns,Returns catalog of design patterns,1,medium,patterns;microservices;architecture
228,embeddings,Domain adaptation,Adapt embeddings to specific domain,Returns domain-adapted embeddings,1,hard,embeddings;adaptation;transfer-learning
229,reranking,Cascade ranking,Implement cascade ranking with multiple stages,Returns efficient multi-stage ranking,1,hard,reranking;cascade;optimization
230,segmentation,Layout analysis,Analyze document layout structure,Returns layout regions and hierarchy,1,hard,segmentation;layout;document-analysis
231,code_generation,Build experiment tracking,Create system for ML experiment tracking,Complete tracking with metrics and artifacts,0,hard,ml;experiments;mlops
232,multi_tool,Risk assessment,Perform security risk assessment,Analyzes system and identifies risks,3,hard,security;risk;assessment
233,code_generation,Implement canary deployment,Create canary deployment strategy,Complete canary implementation with metrics,0,hard,deployment;canary;devops
234,web_search,Migration stories,Find case studies of cloud migrations,Returns migration case studies and lessons,1,medium,migration;cloud;case-studies
235,web_reading,Extract metadata tags,Extract all meta tags from webpage,Returns structured metadata,1,easy,web;metadata;seo
236,embeddings,Embedding calibration,Calibrate embedding similarities,Returns calibrated similarity scores,1,hard,embeddings;calibration;ml
237,classification,Fake news detection,Detect potentially fake or misleading news,Returns credibility score with analysis,1,hard,classification;misinformation;nlp
238,code_generation,Create backup system,Build automated backup and restore system,Complete backup system with scheduling,0,hard,backup;reliability;automation
